,service_layers,join,Unnamed: 0,map_title,type,item_id,owner,date_created,date_updated,share_settings,content_status,total_storage,number_of_views,number_of_ratings,average_rating,layer_type,service_title,layer_url,match
31,https://geo.co.crook.or.us/server/rest/services/CityServices/Reservoir_Elevation/MapServer,1,,,,,,,,,,,,,,,,,
32,https://geo.co.crook.or.us/server/rest/services/Chamber_Features/MapServer,1,,,,,,,,,,,,,,,,,
33,https://geo.co.crook.or.us/server/rest/services/openData/Infrastructure/MapServer,1,,,,,,,,,,,,,,,,,
34,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Grids/MapServer,1,,,,,,,,,,,,,,,,,
35,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Points_of_Interest/MapServer,1,,,,,,,,,,,,,,,,,
36,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Boundaries/MapServer,1,,,,,,,,,,,,,,,,,
37,https://geo.co.crook.or.us/server/rest/services/CityServices/Transportation/MapServer,1,,,,,,,,,,,,,,,,,
38,https://geo.co.crook.or.us/server/rest/services/CommunityDevelopment/Land_Use_Flag/MapServer,1,,,,,,,,,,,,,,,,,
39,https://geo.co.crook.or.us/server/rest/services/CityServices/Barnes_Butte_Trail_System/MapServer,1,,,,,,,,,,,,,,,,,
40,https://geo.co.crook.or.us/server/rest/services/oid/BOR/MapServer,1,420.0,Ochoco Irrigation District,Web Map,b2b9c62c7eb34b95b45731774ecfef21,crookcountygis,11/05/2018 01:35:39 PM,01/10/2023 10:16:35 AM,shared,,106659.0,3830.0,0.0,0.0,ArcGISMapServiceLayer,BOR,https://geo.co.crook.or.us/server/rest/services/oid/BOR/MapServer,True
41,https://geo.co.crook.or.us/server/rest/services/surveyor/cornersMS/MapServer,1,92.0,Crook County Corners,Web Map,7a8db0669479469f957cb4aec3a2f40d,crookcountygis,11/13/2018 11:11:28 AM,07/07/2022 11:52:30 AM,public,,9445.0,2575.0,0.0,0.0,ArcGISFeatureLayer,Corners,https://geo.co.crook.or.us/server/rest/services/surveyor/cornersMS/MapServer/0,True
42,https://geo.co.crook.or.us/server/rest/services/oid/assets/MapServer,1,143.0,Ochoco Irrigation District-Field Maps,Web Map,907ac114a8ce4b8796328d79a5f0937e,crookcountygis,03/14/2023 08:25:16 AM,05/18/2023 10:11:37 AM,shared,,31049.0,482.0,0.0,0.0,ArcGISMapServiceLayer,Assets,https://geo.co.crook.or.us/server/rest/services/oid/assets/MapServer,True
43,https://geo.co.crook.or.us/server/rest/services/oid/assets/MapServer,1,255.0,Junction Comparison,Web Map,907e7423b3f24debab99bae469edd37b,crookcountygis,10/30/2019 11:41:18 AM,07/07/2022 11:54:02 AM,shared,,18590.0,201.0,0.0,0.0,ArcGISFeatureLayer,Junctions - Original,https://geo.co.crook.or.us/server/rest/services/oid/assets/MapServer/1,True
44,https://geo.co.crook.or.us/server/rest/services/oid/assets/MapServer,1,424.0,Ochoco Irrigation District,Web Map,b2b9c62c7eb34b95b45731774ecfef21,crookcountygis,11/05/2018 01:35:39 PM,01/10/2023 10:16:35 AM,shared,,106659.0,3830.0,0.0,0.0,ArcGISMapServiceLayer,Assets,https://geo.co.crook.or.us/server/rest/services/oid/assets/MapServer,True
45,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Communication_Towers_Visibility/MapServer,1,219.0,Communication Tower Visibility,Web Map,c7969d521b354561b0394f85be6a6f8a,jack.colpitt,06/28/2022 12:52:20 PM,06/28/2022 01:08:31 PM,shared,,31119.0,161.0,0.0,0.0,ArcGISMapServiceLayer,Hampton,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Communication_Towers_Visibility/MapServer,True
46,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Communication_Towers_Visibility/MapServer,1,220.0,Communication Tower Visibility,Web Map,c7969d521b354561b0394f85be6a6f8a,jack.colpitt,06/28/2022 12:52:20 PM,06/28/2022 01:08:31 PM,shared,,31119.0,161.0,0.0,0.0,ArcGISMapServiceLayer,Drake Butte,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Communication_Towers_Visibility/MapServer,True
47,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Communication_Towers_Visibility/MapServer,1,221.0,Communication Tower Visibility,Web Map,c7969d521b354561b0394f85be6a6f8a,jack.colpitt,06/28/2022 12:52:20 PM,06/28/2022 01:08:31 PM,shared,,31119.0,161.0,0.0,0.0,ArcGISMapServiceLayer,Wolf Mountain,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Communication_Towers_Visibility/MapServer,True
48,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Communication_Towers_Visibility/MapServer,1,222.0,Communication Tower Visibility,Web Map,c7969d521b354561b0394f85be6a6f8a,jack.colpitt,06/28/2022 12:52:20 PM,06/28/2022 01:08:31 PM,shared,,31119.0,161.0,0.0,0.0,ArcGISMapServiceLayer,Round Mountain,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Communication_Towers_Visibility/MapServer,True
49,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Communication_Towers_Visibility/MapServer,1,223.0,Communication Tower Visibility,Web Map,c7969d521b354561b0394f85be6a6f8a,jack.colpitt,06/28/2022 12:52:20 PM,06/28/2022 01:08:31 PM,shared,,31119.0,161.0,0.0,0.0,ArcGISMapServiceLayer,Bowman,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Communication_Towers_Visibility/MapServer,True
50,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Communication_Towers_Visibility/MapServer,1,224.0,Communication Tower Visibility,Web Map,c7969d521b354561b0394f85be6a6f8a,jack.colpitt,06/28/2022 12:52:20 PM,06/28/2022 01:08:31 PM,shared,,31119.0,161.0,0.0,0.0,ArcGISMapServiceLayer,Grizzly Butte,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Communication_Towers_Visibility/MapServer,True
51,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Communication_Towers_Visibility/MapServer,1,225.0,Communication Tower Visibility,Web Map,c7969d521b354561b0394f85be6a6f8a,jack.colpitt,06/28/2022 12:52:20 PM,06/28/2022 01:08:31 PM,shared,,31119.0,161.0,0.0,0.0,ArcGISMapServiceLayer,Communication Towers - Public Safety,https://geo.co.crook.or.us/server/rest/services/FireDepartment/Communication_Towers_Visibility/MapServer,True
52,https://geo.co.crook.or.us/server/rest/services/openData/water/MapServer,1,,,,,,,,,,,,,,,,,
53,https://geo.co.crook.or.us/server/rest/services/Facilities/Building_Footprints/MapServer,1,,,,,,,,,,,,,,,,,
54,https://geo.co.crook.or.us/server/rest/services/restricted/sheriff/MapServer,1,86.0,Police Compliance,Web Map,2738dac855cb40598c73f16977ab16d2,crookcountygis,09/02/2021 07:28:23 AM,07/07/2022 11:45:33 AM,shared,,55617.0,391.0,0.0,0.0,ArcGISFeatureLayer,Citizen Cameras,https://geo.co.crook.or.us/server/rest/services/restricted/sheriff/MapServer/26,True
55,https://geo.co.crook.or.us/server/rest/services/restricted/sheriff/MapServer,1,140.0,Sheriff,Web Map,2dc4e345a2e64871923beb6134b06b75,crookcountygis,03/06/2019 01:49:40 PM,07/07/2022 11:53:36 AM,shared,,38726.0,448.0,0.0,0.0,ArcGISMapServiceLayer,Layers,https://geo.co.crook.or.us/server/rest/services/restricted/sheriff/MapServer,True
56,https://geo.co.crook.or.us/server/rest/services/CityServices/Subdivisions/MapServer,1,,,,,,,,,,,,,,,,,
57,https://geo.co.crook.or.us/server/rest/services/CityServices/Trails/MapServer,1,,,,,,,,,,,,,,,,,
58,https://geo.co.crook.or.us/server/rest/services/CityServices/Address_Points/MapServer,1,,,,,,,,,,,,,,,,,
59,https://geo.co.crook.or.us/server/rest/services/oid/waterRights/MapServer,1,142.0,Ochoco Irrigation District-Field Maps,Web Map,907ac114a8ce4b8796328d79a5f0937e,crookcountygis,03/14/2023 08:25:16 AM,05/18/2023 10:11:37 AM,shared,,31049.0,482.0,0.0,0.0,ArcGISFeatureLayer,Water Rights - POU All,https://geo.co.crook.or.us/server/rest/services/oid/waterRights/MapServer/8,True
60,https://geo.co.crook.or.us/server/rest/services/oid/waterRights/MapServer,1,172.0,GIS Quick Map,Web Map,055059c6ecba4ac48526b96987bd9d9a,crookcountygis,03/01/2019 08:33:26 AM,07/07/2022 11:43:36 AM,shared,,59906.0,819.0,0.0,0.0,ArcGISMapServiceLayer,OID WR,https://geo.co.crook.or.us/server/rest/services/oid/waterRights/MapServer,True
61,https://geo.co.crook.or.us/server/rest/services/oid/waterRights/MapServer,1,176.0,GIS Quick Map,Web Map,055059c6ecba4ac48526b96987bd9d9a,crookcountygis,03/01/2019 08:33:26 AM,07/07/2022 11:43:36 AM,shared,,59906.0,819.0,0.0,0.0,ArcGISFeatureLayer,Place of Use,https://geo.co.crook.or.us/server/rest/services/oid/waterRights/MapServer/8,True
62,https://geo.co.crook.or.us/server/rest/services/oid/waterRights/MapServer,1,204.0,test,Web Map,345105198a814c6faa354725c59c6ab5,crookcountygis,07/07/2022 12:21:28 PM,07/12/2022 12:47:56 PM,private,,1014.0,220.0,0.0,0.0,ArcGISMapServiceLayer,waterRights,https://geo.co.crook.or.us/server/rest/services/oid/waterRights/MapServer,True
63,https://geo.co.crook.or.us/server/rest/services/oid/waterRights/MapServer,1,422.0,Ochoco Irrigation District,Web Map,b2b9c62c7eb34b95b45731774ecfef21,crookcountygis,11/05/2018 01:35:39 PM,01/10/2023 10:16:35 AM,shared,,106659.0,3830.0,0.0,0.0,ArcGISMapServiceLayer,Water Rights,https://geo.co.crook.or.us/server/rest/services/oid/waterRights/MapServer,True
64,https://geo.co.crook.or.us/server/rest/services/basemaps/Crook_County_Basemap_2/MapServer,1,,,,,,,,,,,,,,,,,
65,https://geo.co.crook.or.us/server/rest/services/CityServices/Zoning/MapServer,1,,,,,,,,,,,,,,,,,
66,https://geo.co.crook.or.us/server/rest/services/CommunityDevelopment/SageGrouse/MapServer,1,,,,,,,,,,,,,,,,,
67,https://geo.co.crook.or.us/server/rest/services/CommunityDevelopment/Epermit_Locations/MapServer,1,,,,,,,,,,,,,,,,,
68,https://geo.co.crook.or.us/server/rest/services/openData/boundary/MapServer,1,85.0,Police Compliance,Web Map,2738dac855cb40598c73f16977ab16d2,crookcountygis,09/02/2021 07:28:23 AM,07/07/2022 11:45:33 AM,shared,,55617.0,391.0,0.0,0.0,ArcGISFeatureLayer,City Boundary,https://geo.co.crook.or.us/server/rest/services/openData/boundary/MapServer/5,True
69,https://geo.co.crook.or.us/server/rest/services/openData/boundary/MapServer,1,179.0,Compliance Cases,Web Map,28585c6641644e66a16b1b18b80205d1,crookcountygis,07/22/2019 02:44:34 PM,07/07/2022 11:55:26 AM,shared,,15523.0,504.0,0.0,0.0,ArcGISFeatureLayer,Taxlots,https://geo.co.crook.or.us/server/rest/services/openData/boundary/MapServer/1,True
70,https://geo.co.crook.or.us/server/rest/services/cc_routes/MapServer,1,,,,,,,,,,,,,,,,,
71,https://geo.co.crook.or.us/server/rest/services/CommunityDevelopment/Epermit_Planning_Applications/MapServer,1,,,,,,,,,,,,,,,,,
72,https://geo.co.crook.or.us/server/rest/services/permitPlanningLayer/MapServer,1,,,,,,,,,,,,,,,,,
73,https://geo.co.crook.or.us/server/rest/services/Taxlots_Synch_Test/MapServer,1,,,,,,,,,,,,,,,,,
74,https://geo.co.crook.or.us/portal/sharing/servers/a427247099f34ee983de93ee276f3a98/rest/services/Elevation/World_Hillshade_Dark/MapServer,1,,,,,,,,,,,,,,,,,
75,https://geo.co.crook.or.us/portal/sharing/servers/8d7dfa69bc0540f38e9aa999bf2e4e65/rest/services/World_Street_Map/MapServer,1,,,,,,,,,,,,,,,,,
76,https://geo.co.crook.or.us/server/rest/services/CampusMapFeatures/MapServer,1,,,,,,,,,,,,,,,,,
77,https://geo.co.crook.or.us/server/rest/services/openData/districts/MapServer,1,,,,,,,,,,,,,,,,,
78,https://geo.co.crook.or.us/server/rest/services/districtAnalysis/MapServer,1,9.0,districtAnalysis,Web Map,fd591fc1406e42ecb414d64173312bba,jack.colpitt,03/02/2023 09:22:46 AM,03/02/2023 09:29:21 AM,public,,26838.0,163.0,0.0,0.0,ArcGISMapServiceLayer,districtAnalysis,https://geo.co.crook.or.us/server/rest/services/districtAnalysis/MapServer,True
79,https://geo.co.crook.or.us/server/rest/services/openData/plss/MapServer,1,149.0,RS_2477,Web Map,4bdf06b4e96241c5b53212694dcc4220,crookcountygis,01/21/2020 01:17:50 PM,07/07/2022 11:58:32 AM,public,,4924.0,472.0,0.0,0.0,ArcGISFeatureLayer,PLSS -Sections,https://geo.co.crook.or.us/server/rest/services/openData/plss/MapServer/4,True
80,https://geo.co.crook.or.us/server/rest/services/openData/plss/MapServer,1,150.0,RS_2477,Web Map,4bdf06b4e96241c5b53212694dcc4220,crookcountygis,01/21/2020 01:17:50 PM,07/07/2022 11:58:32 AM,public,,4924.0,472.0,0.0,0.0,ArcGISFeatureLayer,PLSS-Townships/Ranges,https://geo.co.crook.or.us/server/rest/services/openData/plss/MapServer/5,True
81,https://geo.co.crook.or.us/server/rest/services/openData/plss/MapServer,1,237.0,CC Fire District Map,Web Map,d525ce959f5e42ce8d4ac93b33836a84,crookcountygis,06/02/2020 02:57:30 PM,07/07/2022 11:52:47 AM,shared,,56986.0,432.0,0.0,0.0,ArcGISFeatureLayer,Township & Range,https://geo.co.crook.or.us/server/rest/services/openData/plss/MapServer/5,True
82,https://geo.co.crook.or.us/server/rest/services/openData/plss/MapServer,1,238.0,CC Fire District Map,Web Map,d525ce959f5e42ce8d4ac93b33836a84,crookcountygis,06/02/2020 02:57:30 PM,07/07/2022 11:52:47 AM,shared,,56986.0,432.0,0.0,0.0,ArcGISFeatureLayer,T&R Sections,https://geo.co.crook.or.us/server/rest/services/openData/plss/MapServer/4,True
83,https://geo.co.crook.or.us/server/rest/services/districtsAnalysisGL/MapServer,1,130.0,districtAnalysis,Web Map,e7f99e54acde4ea7ae50422f715afe24,jack.colpitt,03/02/2023 09:51:17 AM,03/06/2023 08:24:52 AM,public,,56663.0,229.0,0.0,0.0,ArcGISMapServiceLayer,Parks and Rec Group,https://geo.co.crook.or.us/server/rest/services/districtsAnalysisGL/MapServer,True
84,https://geo.co.crook.or.us/server/rest/services/districtsAnalysisGL/MapServer,1,131.0,districtAnalysis,Web Map,e7f99e54acde4ea7ae50422f715afe24,jack.colpitt,03/02/2023 09:51:17 AM,03/06/2023 08:24:52 AM,public,,56663.0,229.0,0.0,0.0,ArcGISMapServiceLayer,Ochoco West Group,https://geo.co.crook.or.us/server/rest/services/districtsAnalysisGL/MapServer,True
85,https://geo.co.crook.or.us/portal/sharing/servers/3850df5d8c604501895232d174b381a6/rest/services/World_Topo_Map/MapServer,1,,,,,,,,,,,,,,,,,
86,https://geo.co.crook.or.us/server/rest/services/openData/Taxlots_and_Tables/MapServer,1,,,,,,,,,,,,,,,,,
87,https://geo.co.crook.or.us/server/rest/services/basemaps/crook_basemap_update/MapServer,1,,,,,,,,,,,,,,,,,
88,https://geo.co.crook.or.us/server/rest/services/e911/FD_layers_Collector/MapServer,1,,,,,,,,,,,,,,,,,
89,https://geo.co.crook.or.us/server/rest/services/Facilities/City_Utilities/MapServer,1,,,,,,,,,,,,,,,,,
90,https://geo.co.crook.or.us/server/rest/services/oid/plss/MapServer,1,132.0,districtAnalysis,Web Map,e7f99e54acde4ea7ae50422f715afe24,jack.colpitt,03/02/2023 09:51:17 AM,03/06/2023 08:24:52 AM,public,,56663.0,229.0,0.0,0.0,ArcGISMapServiceLayer,PLSS,https://geo.co.crook.or.us/server/rest/services/oid/plss/MapServer,True
91,https://geo.co.crook.or.us/server/rest/services/oid/plss/MapServer,1,177.0,GIS Quick Map,Web Map,055059c6ecba4ac48526b96987bd9d9a,crookcountygis,03/01/2019 08:33:26 AM,07/07/2022 11:43:36 AM,shared,,59906.0,819.0,0.0,0.0,ArcGISFeatureLayer,POU QQ,https://geo.co.crook.or.us/server/rest/services/oid/plss/MapServer/5,True
92,https://geo.co.crook.or.us/server/rest/services/oid/plss/MapServer,1,419.0,Ochoco Irrigation District,Web Map,b2b9c62c7eb34b95b45731774ecfef21,crookcountygis,11/05/2018 01:35:39 PM,01/10/2023 10:16:35 AM,shared,,106659.0,3830.0,0.0,0.0,ArcGISMapServiceLayer,PLSS,https://geo.co.crook.or.us/server/rest/services/oid/plss/MapServer,True
93,https://geo.co.crook.or.us/server/rest/services/oid/administration/MapServer,1,144.0,Ochoco Irrigation District-Field Maps,Web Map,907ac114a8ce4b8796328d79a5f0937e,crookcountygis,03/14/2023 08:25:16 AM,05/18/2023 10:11:37 AM,shared,,31049.0,482.0,0.0,0.0,ArcGISFeatureLayer,Easements,https://geo.co.crook.or.us/server/rest/services/oid/administration/MapServer/1,True
94,https://geo.co.crook.or.us/server/rest/services/oid/administration/MapServer,1,145.0,Ochoco Irrigation District-Field Maps,Web Map,907ac114a8ce4b8796328d79a5f0937e,crookcountygis,03/14/2023 08:25:16 AM,05/18/2023 10:11:37 AM,shared,,31049.0,482.0,0.0,0.0,ArcGISFeatureLayer,Service Area Boundary,https://geo.co.crook.or.us/server/rest/services/oid/administration/MapServer/0,True
95,https://geo.co.crook.or.us/server/rest/services/oid/administration/MapServer,1,146.0,Ochoco Irrigation District-Field Maps,Web Map,907ac114a8ce4b8796328d79a5f0937e,crookcountygis,03/14/2023 08:25:16 AM,05/18/2023 10:11:37 AM,shared,,31049.0,482.0,0.0,0.0,ArcGISFeatureLayer,McKay Creek Project,https://geo.co.crook.or.us/server/rest/services/oid/administration/MapServer/3,True
96,https://geo.co.crook.or.us/server/rest/services/oid/administration/MapServer,1,423.0,Ochoco Irrigation District,Web Map,b2b9c62c7eb34b95b45731774ecfef21,crookcountygis,11/05/2018 01:35:39 PM,01/10/2023 10:16:35 AM,shared,,106659.0,3830.0,0.0,0.0,ArcGISMapServiceLayer,Administration,https://geo.co.crook.or.us/server/rest/services/oid/administration/MapServer,True
97,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer,1,71.0,Clerks,Web Map,b522340bddd5453c84be6cbaa1acc032,crookcountygis,11/06/2018 06:58:52 AM,05/09/2023 12:09:56 PM,public,,19798.0,495.0,0.0,0.0,ArcGISFeatureLayer,Precinct Splits,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer/14,True
98,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer,1,72.0,Clerks,Web Map,b522340bddd5453c84be6cbaa1acc032,crookcountygis,11/06/2018 06:58:52 AM,05/09/2023 12:09:56 PM,public,,19798.0,495.0,0.0,0.0,ArcGISFeatureLayer,Precincts near me,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer/4,True
99,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer,1,73.0,Clerks,Web Map,b522340bddd5453c84be6cbaa1acc032,crookcountygis,11/06/2018 06:58:52 AM,05/09/2023 12:09:56 PM,public,,19798.0,495.0,0.0,0.0,ArcGISFeatureLayer,Sections,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer/5,True
100,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer,1,74.0,Clerks,Web Map,b522340bddd5453c84be6cbaa1acc032,crookcountygis,11/06/2018 06:58:52 AM,05/09/2023 12:09:56 PM,public,,19798.0,495.0,0.0,0.0,ArcGISFeatureLayer,Townships,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer/6,True
101,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer,1,75.0,Clerks,Web Map,b522340bddd5453c84be6cbaa1acc032,crookcountygis,11/06/2018 06:58:52 AM,05/09/2023 12:09:56 PM,public,,19798.0,495.0,0.0,0.0,ArcGISFeatureLayer,Taxlots,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer/3,True
102,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer,1,76.0,Clerks,Web Map,b522340bddd5453c84be6cbaa1acc032,crookcountygis,11/06/2018 06:58:52 AM,05/09/2023 12:09:56 PM,public,,19798.0,495.0,0.0,0.0,ArcGISFeatureLayer,Taxlots labels,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer/3,True
103,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer,1,77.0,Clerks,Web Map,b522340bddd5453c84be6cbaa1acc032,crookcountygis,11/06/2018 06:58:52 AM,05/09/2023 12:09:56 PM,public,,19798.0,495.0,0.0,0.0,ArcGISFeatureLayer,Major Roads,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer/1,True
104,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer,1,78.0,Clerks,Web Map,b522340bddd5453c84be6cbaa1acc032,crookcountygis,11/06/2018 06:58:52 AM,05/09/2023 12:09:56 PM,public,,19798.0,495.0,0.0,0.0,ArcGISFeatureLayer,Roads,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer/2,True
105,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer,1,79.0,Clerks,Web Map,b522340bddd5453c84be6cbaa1acc032,crookcountygis,11/06/2018 06:58:52 AM,05/09/2023 12:09:56 PM,public,,19798.0,495.0,0.0,0.0,ArcGISFeatureLayer,Roads labels,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer/2,True
106,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer,1,80.0,Clerks,Web Map,b522340bddd5453c84be6cbaa1acc032,crookcountygis,11/06/2018 06:58:52 AM,05/09/2023 12:09:56 PM,public,,19798.0,495.0,0.0,0.0,ArcGISFeatureLayer,Address Labels,https://geo.co.crook.or.us/server/rest/services/Clerks/Clerks/MapServer/0,True
